time,patched_value_cfs,proxy_sum_q_cfs,proxy_adjusted_q_cfs
2020-11-24,516.3199792704802,563.0,516.3199792704802
2020-11-25,513.3199792704802,560.0,513.3199792704802
2020-11-26,512.3199792704802,559.0,512.3199792704802
2020-11-27,503.31997927048013,550.0,503.31997927048013
2020-11-28,503.31997927048013,550.0,503.31997927048013
2020-11-29,500.31997927048013,547.0,500.31997927048013
2020-11-30,497.31997927048013,544.0,497.31997927048013
2020-12-01,495.31997927048013,542.0,495.31997927048013
2020-12-02,497.31997927048013,544.0,497.31997927048013
2020-12-03,488.31997927048013,535.0,488.31997927048013
2020-12-04,485.31997927048013,532.0,485.31997927048013
2020-12-05,500.31997927048013,547.0,500.31997927048013
2020-12-06,482.31997927048013,529.0,482.31997927048013
2020-12-07,490.31997927048013,537.0,490.31997927048013
2020-12-08,490.31997927048013,537.0,490.31997927048013
2020-12-09,486.31997927048013,533.0,486.31997927048013
2020-12-10,486.31997927048013,533.0,486.31997927048013
2020-12-11,496.31997927048013,543.0,496.31997927048013
2020-12-12,496.31997927048013,543.0,496.31997927048013
2020-12-13,478.31997927048013,525.0,478.31997927048013
2020-12-14,479.31997927048013,526.0,479.31997927048013
2020-12-15,485.31997927048013,532.0,485.31997927048013
2020-12-16,444.31997927048013,491.0,444.31997927048013
2020-12-17,424.31997927048013,471.0,424.31997927048013
2020-12-18,483.31997927048013,530.0,483.31997927048013
2020-12-19,474.31997927048013,521.0,474.31997927048013
2020-12-20,482.31997927048013,529.0,482.31997927048013
2020-12-21,479.31997927048013,526.0,479.31997927048013
2020-12-22,471.31997927048013,518.0,471.31997927048013
2020-12-23,479.31997927048013,526.0,479.31997927048013
2020-12-24,478.31997927048013,525.0,478.31997927048013
2020-12-25,481.31997927048013,528.0,481.31997927048013
2020-12-26,478.31997927048013,525.0,478.31997927048013
2020-12-27,476.31997927048013,523.0,476.31997927048013
2020-12-28,493.31997927048013,540.0,493.31997927048013
2020-12-29,494.31997927048013,541.0,494.31997927048013
2020-12-30,470.31997927048013,517.0,470.31997927048013
2020-12-31,480.31997927048013,527.0,480.31997927048013
2021-01-01,486.31997927048013,533.0,486.31997927048013
2021-01-02,474.31997927048013,521.0,474.31997927048013
2021-01-03,481.31997927048013,528.0,481.31997927048013
2021-01-04,482.31997927048013,529.0,482.31997927048013
2021-01-05,492.31997927048013,539.0,492.31997927048013
2021-01-06,481.31997927048013,528.0,481.31997927048013
2021-01-07,492.31997927048013,539.0,492.31997927048013
2021-01-08,485.31997927048013,532.0,485.31997927048013
2021-01-09,525.3199792704802,572.0,525.3199792704802
2021-01-10,531.3199792704802,578.0,531.3199792704802
2021-01-11,517.3199792704802,564.0,517.3199792704802
2021-01-12,514.3199792704802,561.0,514.3199792704802
2021-01-13,527.3199792704802,574.0,527.3199792704802
2021-01-14,519.3199792704802,566.0,519.3199792704802
2021-01-15,534.3199792704802,581.0,534.3199792704802
2021-01-16,531.3199792704802,578.0,531.3199792704802
2021-01-17,532.3199792704802,579.0,532.3199792704802
2021-01-18,526.3199792704802,573.0,526.3199792704802
2021-01-19,555.3199792704802,602.0,555.3199792704802
2021-01-20,536.3199792704802,583.0,536.3199792704802
2021-01-21,528.3199792704802,575.0,528.3199792704802
2021-01-22,536.3199792704802,583.0,536.3199792704802
2021-01-23,531.3199792704802,578.0,531.3199792704802
2021-01-24,545.3199792704802,592.0,545.3199792704802
2021-01-25,547.3199792704802,594.0,547.3199792704802
2021-01-26,538.3199792704802,585.0,538.3199792704802
2021-01-27,512.3199792704802,559.0,512.3199792704802
2021-01-28,509.31997927048013,556.0,509.31997927048013
2021-01-29,517.3199792704802,564.0,517.3199792704802
2021-01-30,533.3199792704802,580.0,533.3199792704802
2021-01-31,530.3199792704802,577.0,530.3199792704802
2021-02-01,516.3199792704802,563.0,516.3199792704802
2021-02-02,511.31997927048013,558.0,511.31997927048013
2021-02-03,527.3199792704802,574.0,527.3199792704802
2021-02-04,542.3199792704802,589.0,542.3199792704802
2021-02-05,536.3199792704802,583.0,536.3199792704802
2021-02-06,527.3199792704802,574.0,527.3199792704802
2021-02-07,518.3199792704802,565.0,518.3199792704802
2021-02-08,518.3199792704802,565.0,518.3199792704802
2021-02-09,498.31997927048013,545.0,498.31997927048013
2021-02-10,494.31997927048013,541.0,494.31997927048013
2021-02-11,504.31997927048013,551.0,504.31997927048013
2021-02-12,501.31997927048013,548.0,501.31997927048013
2021-02-13,511.31997927048013,558.0,511.31997927048013
2021-02-14,542.3199792704802,589.0,542.3199792704802
2021-02-15,527.3199792704802,574.0,527.3199792704802
2021-02-16,527.3199792704802,574.0,527.3199792704802
2021-02-17,516.3199792704802,563.0,516.3199792704802
2021-02-18,515.3199792704802,562.0,515.3199792704802
2021-02-19,494.31997927048013,541.0,494.31997927048013
2021-02-20,494.31997927048013,541.0,494.31997927048013
2021-02-21,511.31997927048013,558.0,511.31997927048013
2021-02-22,516.3199792704802,563.0,516.3199792704802
2021-02-23,518.3199792704802,565.0,518.3199792704802
2021-02-24,513.3199792704802,560.0,513.3199792704802
2021-02-25,511.31997927048013,558.0,511.31997927048013
2021-02-26,518.3199792704802,565.0,518.3199792704802
2021-02-27,510.31997927048013,557.0,510.31997927048013
2021-02-28,509.31997927048013,556.0,509.31997927048013
2021-03-01,507.31997927048013,554.0,507.31997927048013
2021-03-02,490.31997927048013,537.0,490.31997927048013
2021-03-03,489.31997927048013,536.0,489.31997927048013
2021-03-04,517.3199792704802,564.0,517.3199792704802
2021-03-05,537.3199792704802,584.0,537.3199792704802
2021-03-06,532.3199792704802,579.0,532.3199792704802
2021-03-07,521.3199792704802,568.0,521.3199792704802
2021-03-08,518.3199792704802,565.0,518.3199792704802
2021-03-09,518.3199792704802,565.0,518.3199792704802
2021-03-10,515.3199792704802,562.0,515.3199792704802
2021-03-11,515.3199792704802,562.0,515.3199792704802
2021-03-12,514.3199792704802,561.0,514.3199792704802
2021-03-13,511.31997927048013,558.0,511.31997927048013
2021-03-14,514.3199792704802,561.0,514.3199792704802
2021-03-15,513.3199792704802,560.0,513.3199792704802
2021-03-16,509.31997927048013,556.0,509.31997927048013
2021-03-17,512.3199792704802,559.0,512.3199792704802
2021-03-18,512.3199792704802,559.0,512.3199792704802
2021-03-19,510.31997927048013,557.0,510.31997927048013
2021-03-20,507.31997927048013,554.0,507.31997927048013
2021-03-21,492.31997927048013,539.0,492.31997927048013
2021-03-22,479.31997927048013,526.0,479.31997927048013
2021-03-23,487.31997927048013,534.0,487.31997927048013
2021-03-24,514.3199792704802,561.0,514.3199792704802
2021-03-25,526.3199792704802,573.0,526.3199792704802
2021-03-26,525.3199792704802,572.0,525.3199792704802
2021-03-27,530.3199792704802,577.0,530.3199792704802
2021-03-28,516.3199792704802,563.0,516.3199792704802
2021-03-29,489.31997927048013,536.0,489.31997927048013
2021-03-30,475.31997927048013,522.0,475.31997927048013
2021-03-31,483.31997927048013,530.0,483.31997927048013
2021-04-01,490.31997927048013,537.0,490.31997927048013
2021-04-02,503.31997927048013,550.0,503.31997927048013
2021-04-03,503.31997927048013,550.0,503.31997927048013
2021-04-04,515.3199792704802,562.0,515.3199792704802
2021-04-05,536.3199792704802,583.0,536.3199792704802
2021-04-06,559.3199792704802,606.0,559.3199792704802
2021-04-07,585.3199792704802,632.0,585.3199792704802
2021-04-08,573.3199792704802,620.0,573.3199792704802
2021-04-09,628.3199792704802,675.0,628.3199792704802
2021-04-10,633.3199792704802,680.0,633.3199792704802
2021-04-11,618.3199792704802,665.0,618.3199792704802
2021-04-12,624.3199792704802,671.0,624.3199792704802
2021-04-13,632.3199792704802,679.0,632.3199792704802
2021-04-14,661.3199792704802,708.0,661.3199792704802
2021-04-15,640.3199792704802,687.0,640.3199792704802
2021-04-16,645.3199792704802,692.0,645.3199792704802
2021-04-17,635.3199792704802,682.0,635.3199792704802
2021-04-18,610.3199792704802,657.0,610.3199792704802
2021-04-19,582.3199792704802,629.0,582.3199792704802
2021-04-20,550.21997927048,596.9,550.21997927048
2021-04-21,577.21997927048,623.9,577.21997927048
2021-04-22,635.0199792704802,681.7,635.0199792704802
2021-04-23,642.1199792704801,688.8,642.1199792704801
2021-04-24,719.8199792704802,766.5,719.8199792704802
2021-04-25,737.0199792704802,783.7,737.0199792704802
2021-04-26,720.4199792704801,767.1,720.4199792704801
2021-04-27,733.4199792704801,780.1,733.4199792704801
2021-04-28,808.3199792704802,855.0,808.3199792704802
2021-04-29,814.3199792704802,861.0,814.3199792704802
2021-04-30,774.1199792704801,820.8,774.1199792704801
2021-05-01,680.1199792704801,726.8,680.1199792704801
2021-05-02,749.3199792704802,796.0,749.3199792704802
2021-05-03,1000.3199792704802,1047.0,1000.3199792704802
2021-05-04,1052.3199792704802,1099.0,1052.3199792704802
2021-05-05,886.3199792704802,933.0,886.3199792704802
2021-05-06,839.3199792704802,886.0,839.3199792704802
2021-05-07,959.3199792704802,1006.0,959.3199792704802
2021-05-08,1154.3199792704802,1201.0,1154.3199792704802
2021-05-09,1205.3199792704802,1252.0,1205.3199792704802
2021-05-10,963.3199792704802,1010.0,963.3199792704802
2021-05-11,927.3199792704802,974.0,927.3199792704802
2021-05-12,769.3199792704802,816.0,769.3199792704802
2021-05-13,733.3199792704802,780.0,733.3199792704802
2021-05-14,834.3199792704802,881.0,834.3199792704802
2021-05-15,921.3199792704802,968.0,921.3199792704802
2021-05-16,1046.3199792704802,1093.0,1046.3199792704802
2021-05-17,1259.3199792704802,1306.0,1259.3199792704802
2021-05-18,1317.3199792704802,1364.0,1317.3199792704802
2021-05-19,1147.3199792704802,1194.0,1147.3199792704802
2021-05-20,1015.3199792704802,1062.0,1015.3199792704802
2021-05-21,1203.3199792704802,1250.0,1203.3199792704802
2021-05-22,1677.3199792704802,1724.0,1677.3199792704802
2021-05-23,1617.3199792704802,1664.0,1617.3199792704802
2021-05-24,1517.3199792704802,1564.0,1517.3199792704802
2021-05-25,1406.3199792704802,1453.0,1406.3199792704802
2021-05-26,1477.3199792704802,1524.0,1477.3199792704802
2021-05-27,1517.3199792704802,1564.0,1517.3199792704802
2021-05-28,1458.3199792704802,1505.0,1458.3199792704802
2021-05-29,1577.3199792704802,1624.0,1577.3199792704802
2021-05-30,1646.3199792704802,1693.0,1646.3199792704802
2021-05-31,1726.3199792704802,1773.0,1726.3199792704802
2021-06-01,1705.3199792704802,1752.0,1705.3199792704802
2021-06-02,1466.3199792704802,1513.0,1466.3199792704802
2021-06-03,1583.3199792704802,1630.0,1583.3199792704802
2021-06-04,1975.3199792704802,2022.0,1975.3199792704802
2021-06-05,2683.31997927048,2730.0,2683.31997927048
2021-06-06,2914.31997927048,2961.0,2914.31997927048
2021-06-07,2652.31997927048,2699.0,2652.31997927048
2021-06-08,2410.31997927048,2457.0,2410.31997927048
2021-06-09,2160.31997927048,2207.0,2160.31997927048
2021-06-10,1940.3199792704802,1987.0,1940.3199792704802
2021-06-11,1809.3199792704802,1856.0,1809.3199792704802
2021-06-12,1798.3199792704802,1845.0,1798.3199792704802
2021-06-13,1718.3199792704802,1765.0,1718.3199792704802
2021-06-14,1597.3199792704802,1644.0,1597.3199792704802
2021-06-15,1506.3199792704802,1553.0,1506.3199792704802
2021-06-16,1426.3199792704802,1473.0,1426.3199792704802
2021-06-17,1376.3199792704802,1423.0,1376.3199792704802
2021-06-18,1314.3199792704802,1361.0,1314.3199792704802
2021-06-19,1185.3199792704802,1232.0,1185.3199792704802
2021-06-20,1105.3199792704802,1152.0,1105.3199792704802
2021-06-21,1087.3199792704802,1134.0,1087.3199792704802
2021-06-22,990.3199792704802,1037.0,990.3199792704802
2021-06-23,906.3199792704802,953.0,906.3199792704802
2021-06-24,855.3199792704802,902.0,855.3199792704802
2021-06-25,951.3199792704802,998.0,951.3199792704802
2021-06-26,1031.3199792704802,1078.0,1031.3199792704802
2021-06-27,982.3199792704802,1029.0,982.3199792704802
2021-06-28,958.3199792704802,1005.0,958.3199792704802
2021-06-29,809.3199792704802,856.0,809.3199792704802
2021-06-30,898.3199792704802,945.0,898.3199792704802
2021-07-01,1093.3199792704802,1140.0,1093.3199792704802
2021-07-02,1051.3199792704802,1098.0,1051.3199792704802
2021-07-03,998.3199792704802,1045.0,998.3199792704802
2021-07-04,969.3199792704802,1016.0,969.3199792704802
2021-07-05,971.3199792704802,1018.0,971.3199792704802
2021-07-06,974.3199792704802,1021.0,974.3199792704802
2021-07-07,990.3199792704802,1037.0,990.3199792704802
2021-07-08,916.3199792704802,963.0,916.3199792704802
2021-07-09,858.3199792704802,905.0,858.3199792704802
2021-07-10,811.3199792704802,858.0,811.3199792704802
2021-07-11,765.3199792704802,812.0,765.3199792704802
2021-07-12,735.3199792704802,782.0,735.3199792704802
2021-07-13,799.3199792704802,846.0,799.3199792704802
2021-07-14,835.3199792704802,882.0,835.3199792704802
2021-07-15,973.3199792704802,1020.0,973.3199792704802
2021-07-16,939.3199792704802,986.0,939.3199792704802
2021-07-17,862.3199792704802,909.0,862.3199792704802
2021-07-18,840.3199792704802,887.0,840.3199792704802
2021-07-19,840.3199792704802,887.0,840.3199792704802
2021-07-20,846.3199792704802,893.0,846.3199792704802
2021-07-21,823.3199792704802,870.0,823.3199792704802
2021-07-22,713.3199792704802,760.0,713.3199792704802
2021-07-23,671.3199792704802,718.0,671.3199792704802
2021-07-24,636.3199792704802,683.0,636.3199792704802
2021-07-25,876.3199792704802,923.0,876.3199792704802
2021-07-26,1145.3199792704802,1192.0,1145.3199792704802
2021-07-27,1331.3199792704802,1378.0,1331.3199792704802
2021-07-28,1945.3199792704802,1992.0,1945.3199792704802
2021-07-29,1325.3199792704802,1372.0,1325.3199792704802
2021-07-30,1181.3199792704802,1228.0,1181.3199792704802
2021-07-31,1241.3199792704802,1288.0,1241.3199792704802
2021-08-01,1216.3199792704802,1263.0,1216.3199792704802
2021-08-02,1147.3199792704802,1194.0,1147.3199792704802
2021-08-03,1044.3199792704802,1091.0,1044.3199792704802
2021-08-04,928.3199792704802,975.0,928.3199792704802
2021-08-05,815.3199792704802,862.0,815.3199792704802
2021-08-06,805.3199792704802,852.0,805.3199792704802
2021-08-07,818.3199792704802,865.0,818.3199792704802
2021-08-08,891.3199792704802,938.0,891.3199792704802
2021-08-09,840.3199792704802,887.0,840.3199792704802
2021-08-10,796.3199792704802,843.0,796.3199792704802
2021-08-11,762.3199792704802,809.0,762.3199792704802
2021-08-12,820.1199792704801,866.8,820.1199792704801
2021-08-13,840.1199792704801,886.8,840.1199792704801
2021-08-14,900.3199792704802,947.0,900.3199792704802
2021-08-15,956.3199792704802,1003.0,956.3199792704802
2021-08-16,1091.3199792704802,1138.0,1091.3199792704802
2021-08-17,909.3199792704802,956.0,909.3199792704802
2021-08-18,809.3199792704802,856.0,809.3199792704802
2021-08-19,793.3199792704802,840.0,793.3199792704802
2021-08-20,819.3199792704802,866.0,819.3199792704802
2021-08-21,934.3199792704802,981.0,934.3199792704802
2021-08-22,916.3199792704802,963.0,916.3199792704802
2021-08-23,845.3199792704802,892.0,845.3199792704802
2021-08-24,799.3199792704802,846.0,799.3199792704802
2021-08-25,752.3199792704802,799.0,752.3199792704802
2021-08-26,729.8199792704802,776.5,729.8199792704802
2021-08-27,756.21997927048,802.9,756.21997927048
2021-08-28,754.3199792704802,801.0,754.3199792704802
2021-08-29,746.21997927048,792.9,746.21997927048
2021-08-30,740.4199792704801,787.1,740.4199792704801
2021-08-31,735.21997927048,781.9,735.21997927048
2021-09-01,757.71997927048,804.4,757.71997927048
2021-09-02,1094.3199792704802,1141.0,1094.3199792704802
2021-09-03,956.3199792704802,1003.0,956.3199792704802
2021-09-04,933.3199792704802,980.0,933.3199792704802
2021-09-05,907.3199792704802,954.0,907.3199792704802
2021-09-06,887.3199792704802,934.0,887.3199792704802
2021-09-07,859.3199792704802,906.0,859.3199792704802
2021-09-08,803.3199792704802,850.0,803.3199792704802
2021-09-09,776.71997927048,823.4,776.71997927048
2021-09-10,770.4199792704801,817.1,770.4199792704801
2021-09-11,765.6199792704801,812.3,765.6199792704801
2021-09-12,759.1199792704801,805.8,759.1199792704801
2021-09-13,756.8199792704802,803.5,756.8199792704802
2021-09-14,814.21997927048,860.9,814.21997927048
2021-09-15,834.0199792704802,880.7,834.0199792704802
2021-09-16,846.21997927048,892.9,846.21997927048
2021-09-17,880.1199792704801,926.8,880.1199792704801
2021-09-18,894.9199792704801,941.6,894.9199792704801
2021-09-19,899.8199792704802,946.5,899.8199792704802
2021-09-20,898.4199792704801,945.1,898.4199792704801
2021-09-21,881.71997927048,928.4,881.71997927048
2021-09-22,878.71997927048,925.4,878.71997927048
2021-09-23,842.3199792704802,889.0,842.3199792704802
2021-09-24,789.6199792704801,836.3,789.6199792704801
2021-09-25,791.5199792704802,838.2,791.5199792704802
2021-09-26,794.3199792704802,841.0,794.3199792704802
2021-09-27,797.3199792704802,844.0,797.3199792704802
2021-09-28,799.3199792704802,846.0,799.3199792704802
2021-09-29,756.5199792704802,803.2,756.5199792704802
2021-09-30,725.21997927048,771.9,725.21997927048
2021-10-01,785.3199792704802,832.0,785.3199792704802
2021-10-02,835.3199792704802,882.0,835.3199792704802
2021-10-03,807.3199792704802,854.0,807.3199792704802
2021-10-04,724.3199792704802,771.0,724.3199792704802
2021-10-05,619.3199792704802,666.0,619.3199792704802
2021-10-06,642.3199792704802,689.0,642.3199792704802
2021-10-07,642.3199792704802,689.0,642.3199792704802
2021-10-08,639.3199792704802,686.0,639.3199792704802
2021-10-09,646.3199792704802,693.0,646.3199792704802
2021-10-10,648.3199792704802,695.0,648.3199792704802
2021-10-11,716.3199792704802,763.0,716.3199792704802
2021-10-12,749.3199792704802,796.0,749.3199792704802
2021-10-13,778.3199792704802,825.0,778.3199792704802
2021-10-14,765.3199792704802,812.0,765.3199792704802
2021-10-15,764.3199792704802,811.0,764.3199792704802
2021-10-16,757.3199792704802,804.0,757.3199792704802
2021-10-17,755.3199792704802,802.0,755.3199792704802
2021-10-18,689.3199792704802,736.0,689.3199792704802
2021-10-19,673.3199792704802,720.0,673.3199792704802
2021-10-20,686.3199792704802,733.0,686.3199792704802
2021-10-21,683.3199792704802,730.0,683.3199792704802
2021-10-22,662.3199792704802,709.0,662.3199792704802
2021-10-23,653.3199792704802,700.0,653.3199792704802
2021-10-24,648.3199792704802,695.0,648.3199792704802
2021-10-25,640.3199792704802,687.0,640.3199792704802
2021-10-26,614.3199792704802,661.0,614.3199792704802
2021-10-27,594.3199792704802,641.0,594.3199792704802
2021-10-28,613.3199792704802,660.0,613.3199792704802
2021-10-29,608.3199792704802,655.0,608.3199792704802
2021-10-30,612.3199792704802,659.0,612.3199792704802
2021-10-31,621.3199792704802,668.0,621.3199792704802
2021-11-01,623.3199792704802,670.0,623.3199792704802
