date,inflow_scale,inflow_change_pct,storage_af,storage_maf
2022-01-07,1.3,30.000000000000004,1223665.4766851065,1.2236654766851065
2022-01-08,1.3,30.000000000000004,1223263.5097429578,1.2232635097429578
2022-01-09,1.3,30.000000000000004,1222962.3031313876,1.2229623031313877
2022-01-10,1.3,30.000000000000004,1222408.6006520486,1.2224086006520487
2022-01-11,1.3,30.000000000000004,1221947.1295776684,1.2219471295776685
2022-01-12,1.3,30.000000000000004,1221322.0221396517,1.2213220221396517
2022-01-13,1.3,30.000000000000004,1220619.360982627,1.2206193609826268
2022-01-14,1.3,30.000000000000004,1219958.5510652715,1.2199585510652715
2022-01-15,1.3,30.000000000000004,1219687.096519817,1.219687096519817
2022-01-16,1.3,30.000000000000004,1219307.5345363459,1.2193075345363458
2022-01-17,1.3,30.000000000000004,1218779.2122222963,1.2187792122222962
2022-01-18,1.3,30.000000000000004,1218131.8816437838,1.2181318816437838
2022-01-19,1.3,30.000000000000004,1217710.6667677506,1.2177106667677506
2022-01-20,1.3,30.000000000000004,1217083.7659413044,1.2170837659413043
2022-01-21,1.3,30.000000000000004,1216797.4188338665,1.2167974188338664
2022-01-22,1.3,30.000000000000004,1216273.055197503,1.216273055197503
2022-01-23,1.3,30.000000000000004,1215605.881643784,1.215605881643784
2022-01-24,1.3,30.000000000000004,1215295.7328834536,1.2152957328834535
2022-01-25,1.3,30.000000000000004,1214747.5675941976,1.2147475675941977
2022-01-26,1.3,30.000000000000004,1214297.5841231232,1.2142975841231232
2022-01-27,1.3,30.000000000000004,1213402.89817271,1.21340289817271
2022-01-28,1.3,30.000000000000004,1213213.336189239,1.213213336189239
2022-01-29,1.3,30.000000000000004,1212663.774205768,1.212663774205768
2022-01-30,1.3,30.000000000000004,1211971.0056107268,1.2119710056107267
2022-01-31,1.3,30.000000000000004,1211237.5841231234,1.2112375841231235
2022-02-01,1.3,30.000000000000004,1210652.9229660986,1.2106529229660987
2022-02-02,1.3,30.000000000000004,1210442.5345363466,1.2104425345363465
2022-02-03,1.3,30.000000000000004,1209793.9973462638,1.209793997346264
2022-02-04,1.3,30.000000000000004,1208930.8485859332,1.2089308485859331
2022-02-05,1.3,30.000000000000004,1208258.113048743,1.208258113048743
2022-02-06,1.3,30.000000000000004,1207791.063461966,1.2077910634619662
2022-02-07,1.3,30.000000000000004,1207108.4023049413,1.2071084023049414
2022-02-08,1.3,30.000000000000004,1206702.4353627926,1.2067024353627926
2022-02-09,1.3,30.000000000000004,1206437.4932140324,1.2064374932140325
2022-02-10,1.3,30.000000000000004,1205886.336189239,1.2058863361892391
2022-02-11,1.3,30.000000000000004,1205117.5923875861,1.205117592387586
2022-02-12,1.3,30.000000000000004,1204578.336189239,1.204578336189239
2022-02-13,1.3,30.000000000000004,1204151.1378421315,1.2041511378421315
2022-02-14,1.3,30.000000000000004,1203820.657174639,1.203820657174639
2022-02-15,1.3,30.000000000000004,1203047.1897329856,1.2030471897329855
2022-02-16,1.3,30.000000000000004,1202391.4911065225,1.2023914911065225
2022-02-17,1.3,30.000000000000004,1202438.9291230515,1.2024389291230515
2022-02-18,1.3,30.000000000000004,1202186.259701564,1.202186259701564
2022-02-19,1.3,30.000000000000004,1201802.6811891673,1.2018026811891673
2022-02-20,1.3,30.000000000000004,1201399.8547428863,1.2013998547428864
2022-02-21,1.3,30.000000000000004,1200448.966752439,1.200448966752439
2022-02-22,1.3,30.000000000000004,1200396.878112904,1.200396878112904
2022-02-23,1.3,30.000000000000004,1200103.134311251,1.2001031343112512
2022-02-24,1.3,30.000000000000004,1199831.795468276,1.199831795468276
2022-02-25,1.3,30.000000000000004,1199370.8892326206,1.1993708892326207
2022-02-26,1.3,30.000000000000004,1198796.864439232,1.198796864439232
2022-02-27,1.3,30.000000000000004,1198244.6578276618,1.1982446578276618
2022-02-28,1.3,30.000000000000004,1197697.0049350997,1.1976970049350997
2022-03-01,1.3,30.000000000000004,1197370.8892326204,1.1973708892326205
2022-03-02,1.3,30.000000000000004,1197189.558654108,1.1971895586541081
2022-03-03,1.3,30.000000000000004,1197395.457359299,1.197395457359299
2022-03-04,1.3,30.000000000000004,1197143.3168634314,1.1971433168634313
2022-03-05,1.3,30.000000000000004,1198074.118516324,1.1980741185163242
2022-03-06,1.3,30.000000000000004,1198705.209425415,1.198705209425415
2022-03-07,1.3,30.000000000000004,1198597.2648952745,1.1985972648952745
2022-03-08,1.3,30.000000000000004,1198846.5759068804,1.1988465759068805
2022-03-09,1.3,30.000000000000004,1198513.6373834382,1.1985136373834382
2022-03-10,1.3,30.000000000000004,1198182.2088157884,1.1981822088157883
2022-03-11,1.3,30.000000000000004,1197940.1045972502,1.1979401045972502
2022-03-12,1.3,30.000000000000004,1197844.815341052,1.197844815341052
2022-03-13,1.3,30.000000000000004,1197483.9393079942,1.1974839393079941
2022-03-14,1.3,30.000000000000004,1197435.6500517959,1.197435650051796
2022-03-15,1.3,30.000000000000004,1197355.8246649604,1.1973558246649605
2022-03-16,1.3,30.000000000000004,1197302.5464430102,1.1973025464430103
2022-03-17,1.3,30.000000000000004,1197796.5299140846,1.1977965299140847
2022-03-18,1.3,30.000000000000004,1198171.6211877784,1.1981716211877784
2022-03-19,1.3,30.000000000000004,1198490.8944942546,1.1984908944942545
2022-03-20,1.3,30.000000000000004,1198655.001932271,1.198655001932271
2022-03-21,1.3,30.000000000000004,1199492.7760366178,1.1994927760366179
2022-03-22,1.3,30.000000000000004,1199414.4950448824,1.1994144950448824
2022-03-23,1.3,30.000000000000004,1199665.3589750724,1.1996653589750723
2022-03-24,1.3,30.000000000000004,1199909.964680838,1.199909964680838
2022-03-25,1.3,30.000000000000004,1200245.047408097,1.200245047408097
2022-03-26,1.3,30.000000000000004,1201105.3201353697,1.2011053201353696
2022-03-27,1.3,30.000000000000004,1202615.5385658178,1.2026155385658177
2022-03-28,1.3,30.000000000000004,1204562.1369939921,1.204562136993992
2022-03-29,1.3,30.000000000000004,1207261.6477282825,1.2072616477282825
2022-03-30,1.3,30.000000000000004,1209922.1082723958,1.2099221082723959
2022-03-31,1.3,30.000000000000004,1212157.676647408,1.212157676647408
2022-04-01,1.3,30.000000000000004,1213903.7242834242,1.2139037242834243
2022-04-02,1.3,30.000000000000004,1215142.220606056,1.215142220606056
2022-04-03,1.3,30.000000000000004,1216434.4339350876,1.2164344339350877
2022-04-04,1.3,30.000000000000004,1218109.7732334305,1.2181097732334305
2022-04-05,1.3,30.000000000000004,1219521.3400271402,1.2195213400271403
2022-04-06,1.3,30.000000000000004,1220789.4730039246,1.2207894730039246
2022-04-07,1.3,30.000000000000004,1222547.0134598608,1.2225470134598608
2022-04-08,1.3,30.000000000000004,1224406.8428968173,1.2244068428968173
2022-04-09,1.3,30.000000000000004,1226597.3664112417,1.2265973664112417
2022-04-10,1.3,30.000000000000004,1229187.3486381574,1.2291873486381573
2022-04-11,1.3,30.000000000000004,1231495.0977371635,1.2314950977371635
2022-04-12,1.3,30.000000000000004,1234113.6826085346,1.2341136826085346
2022-04-13,1.3,30.000000000000004,1236417.881694968,1.236417881694968
2022-04-14,1.3,30.000000000000004,1238350.1424607688,1.2383501424607688
2022-04-15,1.3,30.000000000000004,1239232.6602253725,1.2392326602253725
2022-04-16,1.3,30.000000000000004,1239796.0186504184,1.2397960186504184
2022-04-17,1.3,30.000000000000004,1241231.288745613,1.2412312887456132
2022-04-18,1.3,30.000000000000004,1243911.7909169325,1.2439117909169326
2022-04-19,1.3,30.000000000000004,1247222.3378625202,1.2472223378625202
