date,dam_safety,flood_safety,niip_delivery,hydropower,esa_min_flow,storage,spring_peak_release
2014-11-24,0,0,0,0.158302192,2.4191515,1.7554615,-0.05
2014-11-25,0,0,0,0.171168272,2.42399367,1.75539446,-0.05
2014-11-26,0,0,0,0.1402915,2.41185689,1.75569511,-0.05
2014-11-27,0,0,0,0.146736243,2.41453378,1.75618359,-0.05
2014-11-28,0,0,0,0.148033565,2.41505946,1.75666799,-0.05
2014-11-29,0,0,0,0.160913501,2.42014371,1.75708368,-0.05
2014-11-30,0,0,0,0.1686452,2.42304873,1.75746297,-0.05
2014-12-01,0,0,0,0.169936144,2.42352264,1.75761811,-0.05
2014-12-02,0,0,0,0.17251941,2.42446182,1.75797718,-0.05
2014-12-03,0,0,0,0.173815596,2.42492713,1.75833421,-0.05
2014-12-04,0,0,0,0.128777642,2.40682847,1.75936339,-0.05
2014-12-05,0,0,0,0.15841156,2.4191515,1.76024098,-0.05
2014-12-06,0,0,0,0.185466224,2.4289894,1.76076933,-0.05
2014-12-07,0,0,0,0.194487539,2.43199793,1.76103535,-0.05
2014-12-08,0,0,0,0.1970639,2.4328341,1.76106731,-0.05
2014-12-09,0,0,0,0.207365118,2.43607821,1.76105085,-0.05
2014-12-10,0,0,0,0.220232402,2.43991592,1.76075191,-0.05
2014-12-11,0,0,0,0.226673942,2.44174825,1.76086057,-0.05
2014-12-12,0,0,0,0.23568209,2.44422083,1.76071297,-0.05
2014-12-13,0,0,0,0.208649069,2.43647266,1.76092655,-0.05
2014-12-14,0,0,0,0.190623554,2.43072432,1.76100695,-0.05
2014-12-15,0,0,0,0.206095552,2.43568134,1.76166031,-0.05
2014-12-16,0,0,0,0.234421326,2.44387408,1.76150469,-0.05
2014-12-17,0,0,0,0.260163297,2.45041969,1.76119976,-0.05
2014-12-18,0,0,0,0.233126333,2.44352519,1.76128825,-0.05
2014-12-19,0,0,0,0.258877429,2.45011119,1.76124561,-0.05
2014-12-20,0,0,0,0.289761447,2.45701521,1.76083577,-0.05
2014-12-21,0,0,0,0.314188082,2.46180048,1.76008887,-0.05
2014-12-22,0,0,0,0.276851691,2.45426207,1.75995339,-0.05
2014-12-23,0,0,0,0.274263239,2.45369078,1.75960397,-0.05
2014-12-24,0,0,0,0.293562405,2.45780858,1.75938975,-0.05
2014-12-25,0,0,0,0.297394947,2.4585874,1.7587173,-0.05
2014-12-26,0,0,0,0.278066768,2.45454509,1.75815578,-0.05
2014-12-27,0,0,0,0.280634945,2.45510591,1.75801418,-0.05
2014-12-28,0,0,0,0.346214525,2.46729894,1.75703051,-0.05
2014-12-29,0,0,0,0.343593306,2.46688967,1.75606278,-0.05
2014-12-30,0,0,0,0.333272923,2.46520098,1.75545849,-0.05
2014-12-31,0,0,0,0.311372568,2.46132279,1.7547349,-0.05
2015-01-01,0,0,0,0.311349982,2.46132279,1.75423349,-0.05
2015-01-02,0,0,0,0.35116143,2.46810245,1.75310745,-0.05
2015-01-03,0,0,0,0.327998874,2.46432479,1.75274533,-0.05
2015-01-04,0,0,0,0.365234774,2.47021219,1.7517746,-0.05
2015-01-05,0,0,0,0.374178291,2.47148182,1.75075713,-0.05
2015-01-06,0,0,0,0.354872915,2.46869215,1.75026738,-0.05
2015-01-07,0,0,0,0.32786419,2.46432479,1.74990907,-0.05
2015-01-08,0,0,0,0.294436555,2.4580698,1.74970044,-0.05
