date,initial_storage_af,initial_storage_maf,storage_af,storage_maf
2024-08-12,400000.0,0.4,1340510.91599202,1.3405109159920199
2024-08-13,400000.0,0.4,1339884.4942359533,1.3398844942359533
2024-08-14,400000.0,0.4,1339591.7902053096,1.3395917902053096
2024-08-15,400000.0,0.4,1340173.5008879502,1.3401735008879503
2024-08-16,400000.0,0.4,1338299.0704584126,1.3382990704584126
2024-08-17,400000.0,0.4,1337378.5333591104,1.3373785333591104
2014-01-01,500000.0,0.5,499817.85366862273,0.49981785366862275
2014-01-02,500000.0,0.5,499532.6454476286,0.4995326454476286
2014-01-03,500000.0,0.5,499356.3069039337,0.4993563069039337
2014-01-04,500000.0,0.5,498988.4974485981,0.4989884974485981
2014-01-05,500000.0,0.5,498573.7879467799,0.4985737879467799
2014-01-06,500000.0,0.5,498359.27983008145,0.49835927983008144
2014-01-07,500000.0,0.5,497895.3270406172,0.4978953270406172
2014-01-08,500000.0,0.5,497390.0349404201,0.4973900349404201
2014-01-09,500000.0,0.5,496899.4406088522,0.4968994406088522
2014-01-10,500000.0,0.5,496499.1744191194,0.4964991744191194
2014-01-11,500000.0,0.5,496394.794852044,0.496394794852044
2014-01-12,500000.0,0.5,495945.0613428542,0.4959450613428542
2014-01-13,500000.0,0.5,495672.054072924,0.49567205407292403
2014-01-14,500000.0,0.5,495361.7780582965,0.49536177805829645
2014-01-15,500000.0,0.5,495031.8332178731,0.49503183321787314
2014-01-16,500000.0,0.5,494624.2501155129,0.4946242501155129
2014-01-17,500000.0,0.5,494281.4427083229,0.4942814427083229
2014-01-18,500000.0,0.5,493956.2554897908,0.49395625548979083
2014-01-19,500000.0,0.5,493621.1767331904,0.49362117673319045
2014-01-20,500000.0,0.5,493294.88691850146,0.4932948869185015
2014-01-21,500000.0,0.5,492952.71518366795,0.49295271518366796
2014-01-22,500000.0,0.5,492578.95230581745,0.49257895230581744
2014-01-23,500000.0,0.5,492100.07822591614,0.4921000782259161
2014-01-24,500000.0,0.5,491578.6911604385,0.4915786911604385
2014-01-25,500000.0,0.5,491266.4147320267,0.4912664147320267
2014-01-26,500000.0,0.5,490850.9584987105,0.49085095849871047
2014-01-27,500000.0,0.5,490210.5627141906,0.49021056271419056
2014-01-28,500000.0,0.5,489836.53678950795,0.48983653678950795
2014-01-29,500000.0,0.5,489440.69928109355,0.48944069928109357
2014-01-30,500000.0,0.5,489050.9113491942,0.4890509113491942
2014-01-31,500000.0,0.5,488774.0325355373,0.4887740325355373
2014-02-01,500000.0,0.5,488659.18594163324,0.48865918594163327
2014-02-02,500000.0,0.5,488559.9478502984,0.48855994785029844
2014-02-03,500000.0,0.5,488111.27091401484,0.48811127091401485
