,Elevation (ft),Capacity (ac-ft),Area (ac)
391,5778.91,2022.42,544.76
392,5778.92,2027.86,544.91
393,5778.929999999999,2033.31,545.07
394,5778.94,2038.76,545.22
395,5778.95,2044.21,545.38
396,5778.96,2049.66,545.53
397,5778.969999999999,2055.12,545.69
398,5778.98,2060.57,545.85
399,5778.99,2066.03,546.0
400,5779.0,2071.49,546.16
401,5779.01,2076.95,546.3
402,5779.02,2082.41,546.45
403,5779.03,2087.88,546.59
404,5779.04,2093.34,546.74
405,5779.05,2098.81,546.88
406,5779.06,2104.28,547.03
407,5779.07,2109.75,547.18
408,5779.08,2115.22,547.32
409,5779.09,2120.7,547.47
410,5779.1,2126.17,547.61
411,5779.110000000001,2131.65,547.76
412,5779.120000000001,2137.13,547.9
413,5779.13,2142.61,548.05
414,5779.14,2148.09,548.2
415,5779.150000000001,2153.57,548.34
416,5779.160000000001,2159.06,548.49
417,5779.17,2164.54,548.63
418,5779.18,2170.03,548.78
419,5779.1900000000005,2175.52,548.92
420,5779.2,2181.01,549.07
421,5779.21,2186.5,549.22
422,5779.22,2191.99,549.36
423,5779.23,2197.49,549.51
424,5779.24,2202.98,549.65
425,5779.25,2208.48,549.8
426,5779.26,2213.98,549.94
427,5779.2699999999995,2219.48,550.09
428,5779.28,2224.98,550.23
429,5779.29,2230.48,550.38
430,5779.3,2235.99,550.53
431,5779.31,2241.49,550.67
432,5779.320000000001,2247.0,550.82
433,5779.33,2252.51,550.96
434,5779.34,2258.02,551.11
435,5779.35,2263.53,551.25
436,5779.360000000001,2269.05,551.4
437,5779.37,2274.56,551.55
438,5779.38,2280.08,551.69
439,5779.39,2285.59,551.84
440,5779.4,2291.11,551.98
441,5779.41,2296.63,552.13
442,5779.42,2302.16,552.27
443,5779.429999999999,2307.68,552.42
444,5779.44,2313.2,552.57
445,5779.45,2318.73,552.71
446,5779.46,2324.26,552.86
447,5779.469999999999,2329.79,553.0
448,5779.48,2335.32,553.15
449,5779.49,2340.85,553.29
450,5779.5,2346.38,553.44
451,5779.51,2351.92,553.59
452,5779.52,2357.46,553.73
453,5779.53,2362.99,553.88
454,5779.54,2368.53,554.02
455,5779.55,2374.08,554.17
456,5779.56,2379.62,554.31
457,5779.57,2385.16,554.46
458,5779.58,2390.71,554.6
459,5779.59,2396.25,554.75
460,5779.6,2401.8,554.9
461,5779.610000000001,2407.35,555.04
462,5779.620000000001,2412.9,555.19
463,5779.63,2418.46,555.33
464,5779.64,2424.01,555.48
465,5779.650000000001,2429.57,555.62
466,5779.660000000001,2435.12,555.77
467,5779.67,2440.68,555.92
468,5779.68,2446.24,556.06
469,5779.6900000000005,2451.8,556.21
470,5779.7,2457.36,556.35
471,5779.71,2462.93,556.5
472,5779.72,2468.49,556.64
473,5779.73,2474.06,556.79
474,5779.74,2479.63,556.94
475,5779.75,2485.2,557.08
476,5779.76,2490.77,557.23
477,5779.7699999999995,2496.35,557.37
478,5779.78,2501.92,557.52
479,5779.79,2507.5,557.66
480,5779.8,2513.07,557.81
481,5779.81,2518.65,557.96
482,5779.820000000001,2524.23,558.1
483,5779.83,2529.81,558.25
484,5779.84,2535.4,558.39
485,5779.85,2540.98,558.54
486,5779.860000000001,2546.57,558.68
487,5779.87,2552.16,558.83
488,5779.88,2557.74,558.98
489,5779.89,2563.34,559.12
490,5779.9,2568.93,559.27
491,5779.91,2574.52,559.41
492,5779.92,2580.12,559.56
493,5779.929999999999,2585.71,559.7
494,5779.94,2591.31,559.85
495,5779.95,2596.91,559.99
496,5779.96,2602.51,560.14
497,5779.969999999999,2608.11,560.29
498,5779.98,2613.72,560.43
499,5779.99,2619.32,560.58
500,5780.0,2624.93,560.72
501,5780.01,2630.54,560.87
502,5780.02,2636.14,561.02
503,5780.03,2641.76,561.16
504,5780.04,2647.37,561.31
505,5780.05,2652.98,561.46
506,5780.06,2658.6,561.61
507,5780.07,2664.21,561.75
508,5780.08,2669.83,561.9
509,5780.09,2675.45,562.05
510,5780.1,2681.07,562.2
511,5780.110000000001,2686.69,562.34
512,5780.120000000001,2692.32,562.49
513,5780.13,2697.94,562.64
514,5780.14,2703.57,562.78
515,5780.150000000001,2709.2,562.93
516,5780.160000000001,2714.82,563.08
517,5780.17,2720.46,563.23
518,5780.18,2726.09,563.37
519,5780.1900000000005,2731.72,563.52
520,5780.2,2737.36,563.67
521,5780.21,2742.99,563.81
522,5780.22,2748.63,563.96
523,5780.23,2754.27,564.11
524,5780.24,2759.91,564.26
525,5780.25,2765.55,564.4
526,5780.26,2771.19,564.55
527,5780.2699999999995,2776.84,564.7
528,5780.28,2782.49,564.85
529,5780.29,2788.13,564.99
530,5780.3,2793.78,565.14
531,5780.31,2799.43,565.29
532,5780.320000000001,2805.08,565.43
533,5780.33,2810.74,565.58
534,5780.34,2816.39,565.73
535,5780.35,2822.05,565.88
536,5780.360000000001,2827.71,566.02
537,5780.37,2833.37,566.17
538,5780.38,2839.03,566.32
539,5780.39,2844.69,566.46
540,5780.4,2850.35,566.61
541,5780.41,2856.02,566.76
542,5780.42,2861.68,566.91
543,5780.429999999999,2867.35,567.05
544,5780.44,2873.02,567.2
545,5780.45,2878.69,567.35
546,5780.46,2884.36,567.49
547,5780.469999999999,2890.03,567.64
548,5780.48,2895.71,567.79
549,5780.49,2901.38,567.94
550,5780.5,2907.06,568.08
551,5780.51,2912.74,568.23
552,5780.52,2918.42,568.38
553,5780.53,2924.1,568.53
554,5780.54,2929.79,568.67
555,5780.55,2935.47,568.82
556,5780.56,2941.16,568.97
557,5780.57,2946.84,569.11
558,5780.58,2952.53,569.26
559,5780.59,2958.22,569.41
560,5780.6,2963.91,569.56
561,5780.610000000001,2969.61,569.7
562,5780.620000000001,2975.3,569.85
563,5780.63,2981.0,570.0
564,5780.64,2986.69,570.14
565,5780.650000000001,2992.39,570.29
566,5780.660000000001,2998.09,570.44
567,5780.67,3003.79,570.59
568,5780.68,3009.5,570.73
569,5780.6900000000005,3015.2,570.88
570,5780.7,3020.91,571.03
571,5780.71,3026.61,571.18
572,5780.72,3032.32,571.32
573,5780.73,3038.03,571.47
574,5780.74,3043.74,571.62
575,5780.75,3049.46,571.76
576,5780.76,3055.17,571.91
577,5780.7699999999995,3060.89,572.06
578,5780.78,3066.6,572.21
579,5780.79,3072.32,572.35
580,5780.8,3078.04,572.5
581,5780.81,3083.76,572.65
582,5780.820000000001,3089.49,572.79
583,5780.83,3095.21,572.94
584,5780.84,3100.94,573.09
585,5780.85,3106.66,573.24
586,5780.860000000001,3112.39,573.38
587,5780.87,3118.12,573.53
588,5780.88,3123.85,573.68
589,5780.89,3129.59,573.83
590,5780.9,3135.32,573.97
591,5780.91,3141.06,574.12
592,5780.92,3146.79,574.27
593,5780.929999999999,3152.53,574.41
594,5780.94,3158.27,574.56
595,5780.95,3164.01,574.71
596,5780.96,3169.76,574.86
597,5780.969999999999,3175.5,575.0
598,5780.98,3181.24,575.15
599,5780.99,3186.99,575.3
600,5781.0,3192.74,575.44
601,5781.01,3198.49,575.6
602,5781.02,3204.25,575.76
603,5781.03,3210.01,575.91
604,5781.04,3215.77,576.07
605,5781.05,3221.53,576.22
606,5781.06,3227.29,576.38
607,5781.07,3233.06,576.54
608,5781.08,3238.82,576.69
609,5781.09,3244.59,576.85
610,5781.1,3250.36,577.0
611,5781.110000000001,3256.13,577.16
612,5781.120000000001,3261.9,577.32
613,5781.13,3267.68,577.47
614,5781.14,3273.45,577.63
615,5781.150000000001,3279.23,577.78
616,5781.160000000001,3285.01,577.94
617,5781.17,3290.79,578.1
618,5781.18,3296.57,578.25
619,5781.1900000000005,3302.35,578.41
620,5781.2,3308.13,578.56
621,5781.21,3313.92,578.72
622,5781.22,3319.71,578.88
623,5781.23,3325.5,579.03
624,5781.24,3331.29,579.19
625,5781.25,3337.08,579.34
626,5781.26,3342.87,579.5
627,5781.2699999999995,3348.67,579.65
628,5781.28,3354.46,579.81
629,5781.29,3360.26,579.97
630,5781.3,3366.06,580.12
631,5781.31,3371.86,580.28
632,5781.320000000001,3377.66,580.43
633,5781.33,3383.47,580.59
634,5781.34,3389.27,580.75
635,5781.35,3395.08,580.9
636,5781.360000000001,3400.89,581.06
637,5781.37,3406.7,581.21
638,5781.38,3412.51,581.37
639,5781.39,3418.32,581.53
640,5781.4,3424.14,581.68
641,5781.41,3429.95,581.84
642,5781.42,3435.77,581.99
643,5781.429999999999,3441.59,582.15
644,5781.44,3447.41,582.31
645,5781.45,3453.24,582.46
646,5781.46,3459.06,582.62
647,5781.469999999999,3464.88,582.77
648,5781.48,3470.71,582.93
649,5781.49,3476.54,583.09
650,5781.5,3482.37,583.24
651,5781.51,3488.2,583.4
652,5781.52,3494.03,583.55
653,5781.53,3499.87,583.71
654,5781.54,3505.71,583.87
655,5781.55,3511.54,584.02
656,5781.56,3517.38,584.18
657,5781.57,3523.22,584.33
658,5781.58,3529.06,584.49
659,5781.59,3534.91,584.64
660,5781.6,3540.75,584.8
661,5781.610000000001,3546.6,584.96
662,5781.620000000001,3552.45,585.11
663,5781.63,3558.3,585.27
664,5781.64,3564.15,585.42
665,5781.650000000001,3570.0,585.58
666,5781.660000000001,3575.86,585.74
667,5781.67,3581.71,585.89
668,5781.68,3587.57,586.05
669,5781.6900000000005,3593.43,586.2
670,5781.7,3599.29,586.36
671,5781.71,3605.15,586.52
672,5781.72,3611.02,586.67
673,5781.73,3616.88,586.83
674,5781.74,3622.75,586.98
675,5781.75,3628.62,587.14
676,5781.76,3634.49,587.3
677,5781.7699999999995,3640.36,587.45
678,5781.78,3646.23,587.61
679,5781.79,3652.1,587.76
680,5781.8,3657.98,587.92
681,5781.81,3663.86,588.08
682,5781.820000000001,3669.74,588.23
683,5781.83,3675.62,588.39
684,5781.84,3681.5,588.54
685,5781.85,3687.38,588.7
686,5781.860000000001,3693.27,588.85
687,5781.87,3699.15,589.01
688,5781.88,3705.04,589.17
689,5781.89,3710.93,589.32
690,5781.9,3716.82,589.48
691,5781.91,3722.71,589.63
692,5781.92,3728.61,589.79
693,5781.929999999999,3734.5,589.95
694,5781.94,3740.4,590.1
695,5781.95,3746.3,590.26
696,5781.96,3752.2,590.41
697,5781.969999999999,3758.1,590.57
698,5781.98,3764.01,590.73
699,5781.99,3769.91,590.88
700,5782.0,3775.82,591.04
701,5782.01,3781.73,591.19
702,5782.02,3787.64,591.34
703,5782.03,3793.55,591.5
704,5782.04,3799.47,591.65
705,5782.05,3805.39,591.8
706,5782.06,3811.31,591.96
707,5782.07,3817.23,592.11
708,5782.08,3823.15,592.26
709,5782.09,3829.07,592.41
710,5782.1,3835.0,592.57
711,5782.110000000001,3840.92,592.72
712,5782.120000000001,3846.85,592.87
713,5782.13,3852.78,593.03
714,5782.14,3858.71,593.18
715,5782.150000000001,3864.65,593.33
716,5782.160000000001,3870.58,593.48
717,5782.17,3876.52,593.64
718,5782.18,3882.45,593.79
719,5782.1900000000005,3888.39,593.94
720,5782.2,3894.33,594.1
721,5782.21,3900.28,594.25
722,5782.22,3906.22,594.4
723,5782.23,3912.16,594.55
724,5782.24,3918.11,594.71
725,5782.25,3924.06,594.86
726,5782.26,3930.01,595.01
727,5782.2699999999995,3935.96,595.17
728,5782.28,3941.91,595.32
729,5782.29,3947.87,595.47
730,5782.3,3953.82,595.62
731,5782.31,3959.78,595.78
732,5782.320000000001,3965.74,595.93
733,5782.33,3971.7,596.08
734,5782.34,3977.66,596.24
735,5782.35,3983.63,596.39
736,5782.360000000001,3989.59,596.54
737,5782.37,3995.56,596.69
738,5782.38,4001.53,596.85
739,5782.39,4007.5,597.0
740,5782.4,4013.47,597.15
741,5782.41,4019.44,597.31
742,5782.42,4025.42,597.46
743,5782.429999999999,4031.39,597.61
744,5782.44,4037.37,597.76
745,5782.45,4043.35,597.92
746,5782.46,4049.33,598.07
747,5782.469999999999,4055.31,598.22
748,5782.48,4061.29,598.38
749,5782.49,4067.28,598.53
750,5782.5,4073.27,598.68
751,5782.51,4079.26,598.83
752,5782.52,4085.25,598.99
753,5782.53,4091.24,599.14
754,5782.54,4097.23,599.29
755,5782.55,4103.22,599.45
756,5782.56,4109.22,599.6
757,5782.57,4115.22,599.75
758,5782.58,4121.22,599.9
759,5782.59,4127.22,600.06
760,5782.6,4133.22,600.21
761,5782.610000000001,4139.22,600.36
762,5782.620000000001,4145.23,600.52
763,5782.63,4151.24,600.67
764,5782.64,4157.25,600.82
765,5782.650000000001,4163.26,600.97
766,5782.660000000001,4169.27,601.13
767,5782.67,4175.28,601.28
768,5782.68,4181.3,601.43
769,5782.6900000000005,4187.31,601.59
770,5782.7,4193.33,601.74
771,5782.71,4199.35,601.89
772,5782.72,4205.37,602.04
773,5782.73,4211.39,602.2
774,5782.74,4217.42,602.35
775,5782.75,4223.44,602.5
776,5782.76,4229.47,602.66
777,5782.7699999999995,4235.5,602.81
778,5782.78,4241.53,602.96
779,5782.79,4247.56,603.11
780,5782.8,4253.59,603.27
781,5782.81,4259.63,603.42
782,5782.820000000001,4265.66,603.57
783,5782.83,4271.7,603.73
784,5782.84,4277.74,603.88
785,5782.85,4283.78,604.03
786,5782.860000000001,4289.82,604.18
787,5782.87,4295.87,604.34
788,5782.88,4301.91,604.49
789,5782.89,4307.96,604.64
790,5782.9,4314.01,604.8
791,5782.91,4320.06,604.95
792,5782.92,4326.11,605.1
793,5782.929999999999,4332.16,605.25
794,5782.94,4338.22,605.41
795,5782.95,4344.28,605.56
796,5782.96,4350.33,605.71
797,5782.969999999999,4356.39,605.87
798,5782.98,4362.45,606.02
799,5782.99,4368.52,606.17
800,5783.0,4374.58,606.32
801,5783.01,4380.65,606.47
802,5783.02,4386.71,606.62
803,5783.03,4392.78,606.77
804,5783.04,4398.85,606.92
805,5783.05,4404.92,607.07
806,5783.06,4410.99,607.21
807,5783.07,4417.06,607.36
808,5783.08,4423.13,607.51
809,5783.09,4429.21,607.66
810,5783.1,4435.28,607.81
811,5783.110000000001,4441.36,607.95
812,5783.120000000001,4447.44,608.1
813,5783.13,4453.52,608.25
814,5783.14,4459.61,608.4
815,5783.150000000001,4465.69,608.55
816,5783.160000000001,4471.77,608.7
817,5783.17,4477.86,608.84
818,5783.18,4483.95,608.99
819,5783.1900000000005,4490.04,609.14
820,5783.2,4496.13,609.29
821,5783.21,4502.22,609.44
